name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),soup
Saara's Grill n Spice - SS Lumina Hotel,No,Yes,4.3,104,Koramangala 7th Block,Casual Dining,"North Indian, Arabian, Beverages","1,000",Buffet,BTM,north indian arabian beverages casual dining btm
ReFresh Juice Junction,Yes,No,4.1,57,Koramangala 1st Block,"Beverage Shop, Quick Bites","Juices, Fast Food",200,Delivery,BTM,juices fast food beverage shop quick bites btm
Cirkus,No,Yes,4.3,331,HSR,"Bar, Casual Dining","North Indian, Continental, Fast Food, Beverages, Pizza","1,400",Dine-out,HSR,north indian continental fast food beverages pizza bar casual dining hsr
Amaravathi Andhra Style Family Restaurant,No,No,3.700448817952718,0,Electronic City,Quick Bites,Andhra,250,Dine-out,Electronic City,andhra quick bites electroniccity
Dakshin Grand,Yes,No,3.0,82,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery,Banashankari,south indian north indian chinese street food quick bites banashankari
Bao and Rolls,No,No,3.6,19,Bannerghatta Road,Quick Bites,"Rolls, Kebab, Fast Food",250,Delivery,Bannerghatta Road,rolls kebab fast food quick bites bannerghattaroad
Batter Splatter,No,No,3.3,5,Lavelle Road,Bakery,Bakery,350,Delivery,Brigade Road,bakery bakery brigaderoad
Shivaay's Cafe,No,No,3.700448817952718,0,Wilson Garden,"Cafe, Dessert Parlor","Cafe, Desserts, Fast Food",400,Cafes,Jayanagar,cafe desserts fast food cafe dessert parlor jayanagar
Cheers Pub Bar & Restro,No,Yes,3.700448817952718,0,Koramangala 4th Block,"Pub, Bar","Continental, Finger Food, Pizza, North Indian, Bar Food","1,100",Delivery,Koramangala 4th Block,continental finger food pizza north indian bar food pub bar koramangala thblock
Tirumala Mess,No,No,3.700448817952718,0,Koramangala 1st Block,Mess,"Andhra, Hyderabadi",300,Dine-out,HSR,andhra hyderabadi mess hsr
Koshy's,No,No,3.6,52,Richmond Road,"Bakery, Quick Bites","Bakery, Fast Food",300,Desserts,Brigade Road,bakery fast food bakery quick bites brigaderoad
Ice Stone Creamery,Yes,No,3.7,42,Jayanagar,Dessert Parlor,"Desserts, Ice Cream",400,Delivery,Basavanagudi,desserts ice cream dessert parlor basavanagudi
Aarti Paratha & Rolls Corner,Yes,No,3.6,15,New BEL Road,Quick Bites,"North Indian, Fast Food",200,Delivery,New BEL Road,north indian fast food quick bites newbelroad
Farida's Kitchen,No,No,3.700448817952718,0,Frazer Town,"Takeaway, Delivery",Mughlai,250,Delivery,Frazer Town,mughlai takeaway delivery frazertown
Goli Vada Pav No.1,No,No,3.700448817952718,0,Banaswadi,Quick Bites,Street Food,200,Dine-out,Kammanahalli,street food quick bites kammanahalli
Hungry Birds,Yes,No,3.2,6,Koramangala 7th Block,Delivery,Chinese,300,Delivery,Brigade Road,chinese delivery brigaderoad
Peacock,Yes,Yes,3.9,847,Indiranagar,Casual Dining,"North Indian, BBQ, Mughlai","1,200",Buffet,Indiranagar,north indian bbq mughlai casual dining indiranagar
Arya Bhavan Sweets,Yes,No,3.2,9,Vasanth Nagar,"Sweet Shop, Quick Bites","Mithai, Street Food, North Indian",300,Delivery,Brigade Road,mithai street food north indian sweet shop quick bites brigaderoad
Dream's Kitchen,No,No,3.1,7,Bannerghatta Road,Casual Dining,"North Indian, Andhra, Chinese",700,Delivery,Bannerghatta Road,north indian andhra chinese casual dining bannerghattaroad
Brother?s Bar & Kitchen,No,No,3.4,5,BTM,Casual Dining,"Chinese, North Indian","1,000",Dine-out,BTM,chinese north indian casual dining btm
Kydz Adda,No,No,3.4,6,Banashankari,Casual Dining,Continental,500,Dine-out,Banashankari,continental casual dining banashankari
Taste Of Home,No,No,3.700448817952718,0,Bannerghatta Road,"Takeaway, Delivery","South Indian, North Indian, Chinese",300,Delivery,Bannerghatta Road,south indian north indian chinese takeaway delivery bannerghattaroad
Atithi Family Bar & Restaurant,Yes,No,3.6,31,Bellandur,"Casual Dining, Bar","North Indian, South Indian, Andhra",500,Delivery,Bellandur,north indian south indian andhra casual dining bar bellandur
Mom's Flavor,No,No,3.700448817952718,0,Marathahalli,"Takeaway, Delivery",North Indian,400,Delivery,Marathahalli,north indian takeaway delivery marathahalli
Mishmash,Yes,No,3.9,1240,HSR,"Casual Dining, Bar","Mediterranean, Continental, North Indian, Mughlai, Salad","1,400",Delivery,Bellandur,mediterranean continental north indian mughlai salad casual dining bar bellandur
Rayalaseema Spice,No,No,3.6,116,Indiranagar,Casual Dining,"Andhra, South Indian, North Indian",650,Delivery,Indiranagar,andhra south indian north indian casual dining indiranagar
Punjabi Thadka,No,No,3.700448817952718,0,Brookefield,Quick Bites,North Indian,400,Delivery,Brookefield,north indian quick bites brookefield
Punjabi Daawat,No,No,2.4,221,BTM,Quick Bites,North Indian,550,Delivery,BTM,north indian quick bites btm
Biswal's Food Circle,No,No,3.700448817952718,0,Banaswadi,Quick Bites,"Chinese, North Indian",350,Delivery,Kammanahalli,chinese north indian quick bites kammanahalli
Combo Box,No,No,3.0,15,BTM,"Takeaway, Delivery","North Indian, Biryani, Chinese",500,Delivery,BTM,north indian biryani chinese takeaway delivery btm
Tetto,Yes,No,3.7,130,Koramangala 1st Block,"Casual Dining, Bar",Continental,"1,200",Delivery,BTM,continental casual dining bar btm
Amexicano,No,No,3.8,31,East Bangalore,Food Truck,"American, Mexican",400,Dine-out,Indiranagar,american mexican food truck indiranagar
Sri Vishnu Garden Family Bar & Restaurant,Yes,No,3.700448817952718,0,Sarjapur Road,"Bar, Casual Dining","North Indian, South Indian, Chinese, Hyderabadi",700,Delivery,Bellandur,north indian south indian chinese hyderabadi bar casual dining bellandur
Ali Snacks Point,Yes,No,3.4,5,Malleshwaram,Quick Bites,"Chinese, Momos",150,Delivery,Malleshwaram,chinese momos quick bites malleshwaram
Mast Punjabi Spice,Yes,No,2.9,34,Electronic City,"Takeaway, Delivery",North Indian,400,Delivery,Electronic City,north indian takeaway delivery electroniccity
Tapri By The Corner,Yes,No,4.1,205,Koramangala 5th Block,Quick Bites,Fast Food,250,Delivery,BTM,fast food quick bites btm
New Delicacy,Yes,No,3.7,86,HSR,Casual Dining,"Chinese, Thai, Momos",500,Delivery,HSR,chinese thai momos casual dining hsr
Beaten Coffee,No,No,3.700448817952718,0,Whitefield,Food Court,"Chinese, Cafe",200,Cafes,Whitefield,chinese cafe food court whitefield
Urvashi,Yes,No,3.700448817952718,0,HSR,Casual Dining,"South Indian, Chinese, Seafood, Biryani",600,Delivery,HSR,south indian chinese seafood biryani casual dining hsr
Sangria Wine Lounge,No,No,4.0,421,New BEL Road,Casual Dining,"Continental, Chinese","1,000",Dine-out,New BEL Road,continental chinese casual dining newbelroad
Indira Darshini,Yes,No,3.6,27,Frazer Town,Quick Bites,"South Indian, Chinese",200,Delivery,Brigade Road,south indian chinese quick bites brigaderoad
Shree Krishna Sannidhi,Yes,No,3.4,76,Bannerghatta Road,Quick Bites,"North Indian, Chinese",450,Delivery,Bannerghatta Road,north indian chinese quick bites bannerghattaroad
Bling - The Zuri,No,No,3.7,228,Whitefield,Lounge,"Continental, North Indian","2,100",Dine-out,Whitefield,continental north indian lounge whitefield
Cafe Light House,No,No,3.700448817952718,0,Electronic City,Quick Bites,"Kerala, Seafood",500,Delivery,Electronic City,kerala seafood quick bites electroniccity
Kitchens@JP Nagar,Yes,No,3.9,488,JP Nagar,"Takeaway, Delivery","Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",400,Delivery,Bannerghatta Road,biryani kerala mughlai street food north indian chinese south indian andhra takeaway delivery bannerghattaroad
Maaheshwari Chaat Wala,No,No,3.9,27,Ulsoor,Quick Bites,Street Food,100,Dine-out,Brigade Road,street food quick bites brigaderoad
Paradise Premium,Yes,No,3.1,119,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery,Banashankari,biryani andhra hyderabadi north indian casual dining banashankari
TRP -That Roll Place,No,No,3.6,14,Bellandur,"Quick Bites, Food Court","Fast Food, Rolls",200,Dine-out,Bellandur,fast food rolls quick bites food court bellandur
Sugar & Spice - Taj MG Road Bengaluru,No,No,4.0,79,MG Road,Dessert Parlor,Desserts,800,Desserts,Brigade Road,desserts dessert parlor brigaderoad
Kakal-Kai Ruchi,Yes,No,3.7,217,JP Nagar,Casual Dining,"North Indian, South Indian, Chinese",500,Delivery,Bannerghatta Road,north indian south indian chinese casual dining bannerghattaroad
Crunchie Corner,Yes,No,4.0,44,Brookefield,Quick Bites,"Fast Food, Continental, Desserts",450,Delivery,Brookefield,fast food continental desserts quick bites brookefield
Rasoi,Yes,No,3.3,128,Banashankari,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari,north indian chinese quick bites banashankari
Grand Fast Food,No,No,3.700448817952718,0,Electronic City,Quick Bites,Fast Food,250,Dine-out,Electronic City,fast food quick bites electroniccity
Doof,Yes,No,4.0,371,Electronic City,Delivery,"Fast Food, Beverages",450,Delivery,Electronic City,fast food beverages delivery electroniccity
Curry Leaves,Yes,No,4.1,176,Basavanagudi,Casual Dining,"Andhra, North Indian, Chinese",800,Delivery,Banashankari,andhra north indian chinese casual dining banashankari
Draggers Caf,Yes,No,4.1,274,Kalyan Nagar,Cafe,"Cafe, Continental, North Indian",900,Cafes,Kalyan Nagar,cafe continental north indian cafe kalyannagar
Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,Dessert Parlor,Ice Cream,300,Delivery,Banashankari,ice cream dessert parlor banashankari
Singh Punjabi Dhaba,No,No,3.8,67,BTM,Quick Bites,"North Indian, Chinese",400,Delivery,BTM,north indian chinese quick bites btm
Raat Ki Rani,Yes,No,4.3,264,Jeevan Bhima Nagar,Delivery,"Fast Food, North Indian",400,Delivery,Indiranagar,fast food north indian delivery indiranagar
Naina Nand Food Express,Yes,No,3.3,8,HBR Layout,Quick Bites,"North Indian, Chinese",300,Delivery,Kalyan Nagar,north indian chinese quick bites kalyannagar
Tandurust,No,No,3.6,27,Bellandur,"Takeaway, Delivery","North Indian, South Indian",300,Delivery,Bellandur,north indian south indian takeaway delivery bellandur
Iyengar Cake Bites,No,No,3.700448817952718,0,JP Nagar,Bakery,Bakery,450,Desserts,JP Nagar,bakery bakery jpnagar
New Prakash Hotel,No,No,3.700448817952718,0,Banashankari,Quick Bites,South Indian,250,Dine-out,Banashankari,south indian quick bites banashankari
Hotel Manarama,No,No,3.7,43,Electronic City,Quick Bites,North Indian,200,Dine-out,Electronic City,north indian quick bites electroniccity
Juicy & Spicy,Yes,No,3.1,4,JP Nagar,"Quick Bites, Beverage Shop","Bakery, Fast Food",150,Delivery,Bannerghatta Road,bakery fast food quick bites beverage shop bannerghattaroad
Hotel Sri Devi (Veg & Non Veg),No,No,3.700448817952718,0,Hennur,Quick Bites,"Biryani, South Indian",300,Dine-out,Kalyan Nagar,biryani south indian quick bites kalyannagar
Lazzet Lee,No,No,3.700448817952718,0,Lavelle Road,Quick Bites,"Mughlai, Cafe",400,Cafes,Brigade Road,mughlai cafe quick bites brigaderoad
Next Corner,No,No,3.700448817952718,0,Rajajinagar,Quick Bites,North Indian,150,Delivery,Rajajinagar,north indian quick bites rajajinagar
Siddu Samayal,No,No,3.700448817952718,0,Bommanahalli,Quick Bites,South Indian,200,Dine-out,BTM,south indian quick bites btm
Roundup Cafe,Yes,Yes,4.2,468,Koramangala 5th Block,Cafe,"Cafe, Continental, Beverages",800,Cafes,BTM,cafe continental beverages cafe btm
Katriguppe Donne Biryani,No,No,3.2,4,Banashankari,Quick Bites,North Indian,300,Delivery,Banashankari,north indian quick bites banashankari
Delish Chinese Fast Food,Yes,No,3.2,4,Banaswadi,Quick Bites,"Chinese, North Indian, Biryani",300,Delivery,Kalyan Nagar,chinese north indian biryani quick bites kalyannagar
Alikemom,Yes,No,3.700448817952718,0,Electronic City,"Takeaway, Delivery",North Indian,300,Delivery,Electronic City,north indian takeaway delivery electroniccity
Hunger Restaurant,No,No,3.700448817952718,0,Bannerghatta Road,Casual Dining,South Indian,500,Dine-out,Bannerghatta Road,south indian casual dining bannerghattaroad
The Chocolate Room,Yes,No,3.9,153,JP Nagar,Food Court,"Cafe, Desserts",400,Delivery,Bannerghatta Road,cafe desserts food court bannerghattaroad
Chandus Hotel,No,No,3.0,12,Basaveshwara Nagar,Quick Bites,South Indian,200,Dine-out,Rajajinagar,south indian quick bites rajajinagar
Kaumudis Juoice,No,No,3.700448817952718,0,Banashankari,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices",150,Delivery,Banashankari,beverages fast food juices beverage shop quick bites banashankari
House Of Combos,Yes,No,3.700448817952718,0,Marathahalli,Delivery,"North Indian, Fast Food, Burger, Momos",600,Delivery,Brookefield,north indian fast food burger momos delivery brookefield
Zangos Grill,Yes,No,3.700448817952718,0,Marathahalli,Delivery,"BBQ, Fast Food",300,Delivery,Bellandur,bbq fast food delivery bellandur
SV Crispy Chicken,No,No,3.5,12,Electronic City,Quick Bites,Fast Food,200,Delivery,Electronic City,fast food quick bites electroniccity
Maruti Sweets,Yes,No,3.700448817952718,0,HSR,Takeaway,"Mithai, Street Food",150,Desserts,HSR,mithai street food takeaway hsr
Treat Kitchen,Yes,No,3.8,79,Thippasandra,Quick Bites,"North Indian, Chinese, Seafood",400,Delivery,Marathahalli,north indian chinese seafood quick bites marathahalli
Regal Cafe,No,No,3.700448817952718,0,BTM,"Quick Bites, Beverage Shop","Street Food, Juices",200,Dine-out,BTM,street food juices quick bites beverage shop btm
New Punjabi Food Corner,Yes,Yes,4.0,960,Electronic City,Quick Bites,"North Indian, Chinese",500,Delivery,Electronic City,north indian chinese quick bites electroniccity
Northern Gate- Gateway Hotel,No,Yes,3.9,100,Residency Road,Casual Dining,North Indian,"1,900",Buffet,Brigade Road,north indian casual dining brigaderoad
New Udupi Fresh Juice Centre,No,No,3.4,9,CV Raman Nagar,Quick Bites,"Juices, Desserts, Fast Food",200,Desserts,Indiranagar,juices desserts fast food quick bites indiranagar
Palki Restaurant,No,No,2.8,93,Old Airport Road,Casual Dining,"North Indian, Chinese, Biryani, Mangalorean",500,Delivery,Indiranagar,north indian chinese biryani mangalorean casual dining indiranagar
Stand View Cake N Snack,No,No,3.700448817952718,0,Indiranagar,"Bakery, Quick Bites","Bakery, Fast Food, Beverages",300,Desserts,Indiranagar,bakery fast food beverages bakery quick bites indiranagar
Mast Biryani - Fresh Indian Kitchen,No,No,3.2,4,Bellandur,"Takeaway, Delivery","Biryani, North Indian, Mughlai, Fast Food",500,Delivery,Bellandur,biryani north indian mughlai fast food takeaway delivery bellandur
The Happy Vegetarian,No,No,3.700448817952718,0,Basaveshwara Nagar,Casual Dining,"North Indian, Chinese, South Indian",600,Delivery,Malleshwaram,north indian chinese south indian casual dining malleshwaram
SK Tiffins Corner,Yes,No,3.3,4,Banaswadi,Quick Bites,South Indian,100,Delivery,Kalyan Nagar,south indian quick bites kalyannagar
Desi Foodizzz,No,No,3.7,28,Brookefield,Casual Dining,"North Indian, Chinese",600,Delivery,Brookefield,north indian chinese casual dining brookefield
Bharat Kitchen,Yes,No,3.7,20,Koramangala 1st Block,Quick Bites,"Bengali, Chinese, Continental, Mughlai, North Indian, Oriya",300,Delivery,BTM,bengali chinese continental mughlai north indian oriya quick bites btm
Sher-E-Punjab,Yes,No,3.2,19,BTM,Quick Bites,"North Indian, Chinese",400,Delivery,Bannerghatta Road,north indian chinese quick bites bannerghattaroad
Jhanhavi Restaurant,Yes,No,3.1,105,Marathahalli,Quick Bites,"North Indian, Chinese, South Indian, Biryani",400,Delivery,Brookefield,north indian chinese south indian biryani quick bites brookefield
Tomago Roast,Yes,No,3.5,12,BTM,Quick Bites,"Fast Food, Beverages",400,Delivery,BTM,fast food beverages quick bites btm
Cafe Alchemist,Yes,No,3.8,61,BTM,Quick Bites,"Fast Food, Juices",300,Delivery,BTM,fast food juices quick bites btm
Vegetalia,Yes,No,3.7,27,Banashankari,"Takeaway, Delivery","Italian, Pizza",400,Delivery,Banashankari,italian pizza takeaway delivery banashankari
Tandoori Chowk,Yes,No,3.5,98,Marathahalli,Quick Bites,"North Indian, Chinese",400,Delivery,Marathahalli,north indian chinese quick bites marathahalli
Swarga Ruchi,Yes,No,3.3,10,Basavanagudi,Quick Bites,South Indian,200,Delivery,Banashankari,south indian quick bites banashankari
Sri Ayodhya Veg,Yes,No,3.6,24,Vasanth Nagar,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Brigade Road,south indian north indian chinese quick bites brigaderoad
Eat Eroo - South China,Yes,No,3.8,370,Marathahalli,Quick Bites,"South Indian, Chinese",350,Dine-out,Marathahalli,south indian chinese quick bites marathahalli
La Heaven,Yes,No,3.8,87,Malleshwaram,"Bakery, Dessert Parlor","Bakery, Desserts",400,Delivery,Malleshwaram,bakery desserts bakery dessert parlor malleshwaram
Dawat E Biryani,No,No,3.700448817952718,0,Koramangala 1st Block,Quick Bites,Biryani,200,Delivery,Koramangala 4th Block,biryani quick bites koramangala thblock
Guru Palace,Yes,No,3.1,106,Bannerghatta Road,Casual Dining,"Chinese, North Indian",450,Delivery,Bannerghatta Road,chinese north indian casual dining bannerghattaroad
56 Bhoga Sweets,No,No,3.6,51,HSR,"Takeaway, Delivery","Mithai, Street Food",150,Delivery,HSR,mithai street food takeaway delivery hsr
Chatori Tongue,Yes,No,3.9,65,Sarjapur Road,Quick Bites,Street Food,100,Delivery,Sarjapur Road,street food quick bites sarjapurroad
SSD Kitchen,No,No,3.700448817952718,0,Indiranagar,Quick Bites,Biryani,150,Delivery,Indiranagar,biryani quick bites indiranagar
Today Coffee,Yes,No,3.700448817952718,0,Electronic City,Quick Bites,South Indian,150,Delivery,Electronic City,south indian quick bites electroniccity
Hotel Anand Vihar,No,No,3.2,12,City Market,Casual Dining,"North Indian, Chinese",400,Dine-out,Basavanagudi,north indian chinese casual dining basavanagudi
The Platonic Cafe,Yes,No,3.700448817952718,0,Electronic City,Cafe,"Cafe, Beverages",500,Cafes,Electronic City,cafe beverages cafe electroniccity
Crave,No,No,3.700448817952718,0,Koramangala 4th Block,Bakery,Bakery,600,Delivery,Koramangala 4th Block,bakery bakery koramangala thblock
Funky Food,No,No,3.700448817952718,0,Electronic City,Delivery,"Fast Food, Desserts, Beverages",60,Delivery,Electronic City,fast food desserts beverages delivery electroniccity
Imperio Restaurant,Yes,Yes,4.2,767,Brookefield,Casual Dining,"North Indian, Arabian, Mughlai, Biryani, Seafood, Beverages",700,Buffet,Brookefield,north indian arabian mughlai biryani seafood beverages casual dining brookefield
Desi Chinese kitchen,Yes,No,3.9,24,Indiranagar,Casual Dining,"Chinese, Asian",700,Delivery,Indiranagar,chinese asian casual dining indiranagar
Malabar Hub,No,No,3.700448817952718,0,HSR,Quick Bites,"Biryani, Kerala",500,Dine-out,HSR,biryani kerala quick bites hsr
The French Corner,No,No,3.4,10,Kalyan Nagar,"Bakery, Dessert Parlor","Bakery, Desserts, Fast Food",400,Delivery,Kalyan Nagar,bakery desserts fast food bakery dessert parlor kalyannagar
North Indian Bhukkads,Yes,Yes,4.0,202,Nagawara,Quick Bites,"North Indian, Biryani, Chinese, Street Food",450,Delivery,Kalyan Nagar,north indian biryani chinese street food quick bites kalyannagar
Dolphin Bar,No,No,3.8,61,Frazer Town,"Casual Dining, Pub","Chinese, Finger Food, North Indian, Seafood","1,000",Delivery,Frazer Town,chinese finger food north indian seafood casual dining pub frazertown
Mood For Food,Yes,No,4.1,146,Jeevan Bhima Nagar,Casual Dining,"North Indian, Biryani",800,Delivery,Indiranagar,north indian biryani casual dining indiranagar
Food Lover,No,No,3.700448817952718,0,Electronic City,"Takeaway, Delivery","North Indian, South Indian, Fast Food",300,Delivery,Electronic City,north indian south indian fast food takeaway delivery electroniccity
Silbatti,No,Yes,4.0,1551,HSR,Casual Dining,North Indian,750,Delivery,HSR,north indian casual dining hsr
Akshara,Yes,No,4.0,136,Marathahalli,Casual Dining,"South Indian, Kerala, Andhra","1,000",Delivery,Brookefield,south indian kerala andhra casual dining brookefield
Amara Food Point,No,No,3.3,4,BTM,"Takeaway, Delivery",South Indian,250,Delivery,BTM,south indian takeaway delivery btm
Bisimillah Biriyani's & Kebab's,No,No,3.3,6,BTM,Quick Bites,"Biryani, Fast Food",300,Delivery,BTM,biryani fast food quick bites btm
Kotian Karavali Restaurant,No,No,3.5,10,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery,Banashankari,south indian biryani quick bites banashankari
The Tiny Taproom,No,No,3.700448817952718,0,Indiranagar,"Bar, Casual Dining","South Indian, North Indian, Chinese, Thai",800,Dine-out,Indiranagar,south indian north indian chinese thai bar casual dining indiranagar
North Indies,Yes,No,3.8,25,Kaggadasapura,Quick Bites,North Indian,450,Delivery,Marathahalli,north indian quick bites marathahalli
Dhaba - Estd 1986 Delhi,Yes,Yes,4.4,1414,Indiranagar,"Casual Dining, Bar",North Indian,"1,100",Buffet,Indiranagar,north indian casual dining bar indiranagar
Traffic,No,No,3.700448817952718,0,BTM,"Takeaway, Delivery","Beverages, Burger, Fast Food",100,Delivery,BTM,beverages burger fast food takeaway delivery btm
The Night Watch Express,Yes,No,3.0,53,Koramangala 1st Block,"Takeaway, Delivery","North Indian, Chinese",500,Delivery,BTM,north indian chinese takeaway delivery btm
Cake of the day,No,No,3.3,16,Basaveshwara Nagar,"Takeaway, Delivery",Desserts,300,Delivery,Rajajinagar,desserts takeaway delivery rajajinagar
Rajanna Military Hotel,Yes,No,4.1,164,Jayanagar,Quick Bites,"Biryani, Fast Food",400,Delivery,Basavanagudi,biryani fast food quick bites basavanagudi
Bindu Sri Nati Style Hotel,No,No,3.700448817952718,0,Basaveshwara Nagar,Quick Bites,South Indian,300,Delivery,Rajajinagar,south indian quick bites rajajinagar
Just Eat,Yes,No,3.700448817952718,0,Indiranagar,Quick Bites,"North Indian, Chinese, Beverages",500,Delivery,Indiranagar,north indian chinese beverages quick bites indiranagar
The Breakfeast,No,No,3.4,10,HSR,"Takeaway, Delivery","Continental, North Indian, South Indian",200,Delivery,HSR,continental north indian south indian takeaway delivery hsr
Yumatos,Yes,No,3.3,7,Whitefield,Quick Bites,"North Indian, Chinese",500,Delivery,Brookefield,north indian chinese quick bites brookefield
Bangarpet Chats Adda,Yes,No,3.700448817952718,0,Electronic City,Quick Bites,"Street Food, Sandwich, Beverages",200,Delivery,Electronic City,street food sandwich beverages quick bites electroniccity
Bhukkad,No,No,3.1,7,Bannerghatta Road,Quick Bites,"Healthy Food, Fast Food",250,Delivery,Bannerghatta Road,healthy food fast food quick bites bannerghattaroad
Cupp,No,No,3.700448817952718,0,BTM,Cafe,"Cafe, Fast Food",550,Cafes,BTM,cafe fast food cafe btm
Spice Taj,No,No,3.700448817952718,0,BTM,Quick Bites,"North Indian, Chinese",300,Delivery,Bannerghatta Road,north indian chinese quick bites bannerghattaroad
Infinity Family Restaurant,Yes,No,3.6,46,Marathahalli,Casual Dining,"North Indian, Chinese",500,Delivery,Marathahalli,north indian chinese casual dining marathahalli
Bellandur Kitchen,Yes,No,3.4,17,Bellandur,Quick Bites,"North Indian, Chinese",400,Delivery,Bellandur,north indian chinese quick bites bellandur
Levitate Brewery and Kitchen,No,Yes,3.700448817952718,0,JP Nagar,"Microbrewery, Casual Dining","Finger Food, North Indian, Continental","1,500",Dine-out,Bannerghatta Road,finger food north indian continental microbrewery casual dining bannerghattaroad
Epic Biryani,No,No,3.700448817952718,0,Whitefield,"Takeaway, Delivery","Biryani, Kebab",300,Delivery,Brookefield,biryani kebab takeaway delivery brookefield
Shilpa Vegetarian Restaurant,No,No,3.700448817952718,0,Shivajinagar,Quick Bites,"South Indian, North Indian, Chinese",350,Delivery,Brigade Road,south indian north indian chinese quick bites brigaderoad
Fishing Boat - Hotel Goyal Residency,Yes,Yes,3.9,418,Electronic City,Casual Dining,"Seafood, North Indian, Chinese, Biryani",800,Buffet,Electronic City,seafood north indian chinese biryani casual dining electroniccity
Adiga Sweets,No,No,3.700448817952718,0,Jayanagar,Takeaway,"Mithai, Beverages",200,Desserts,BTM,mithai beverages takeaway btm
Barcode,No,Yes,3.8,169,Koramangala 4th Block,Bar,"South Indian, North Indian","1,300",Dine-out,BTM,south indian north indian bar btm
Sweet Moments Express,Yes,No,3.7,19,Kammanahalli,"Sweet Shop, Quick Bites","Mithai, Street Food",200,Delivery,Frazer Town,mithai street food sweet shop quick bites frazertown
Vakulaa Veg Restaurant,Yes,No,3.9,49,Jayanagar,Quick Bites,"South Indian, North Indian",200,Delivery,Basavanagudi,south indian north indian quick bites basavanagudi
Joshi's Mumbai Masala,No,No,3.3,6,Basavanagudi,Quick Bites,"Street Food, Fast Food",150,Dine-out,Basavanagudi,street food fast food quick bites basavanagudi
Oye Hoye,Yes,No,3.8,69,Kalyan Nagar,Quick Bites,North Indian,300,Delivery,Kalyan Nagar,north indian quick bites kalyannagar
Fruit Face,Yes,No,3.6,21,Indiranagar,"Quick Bites, Beverage Shop","Fast Food, Street Food, Beverages",300,Delivery,Brigade Road,fast food street food beverages quick bites beverage shop brigaderoad
BFC Family Restaurant,Yes,No,3.2,426,Kaggadasapura,Casual Dining,"North Indian, Biryani, Chinese, Rolls",600,Delivery,Marathahalli,north indian biryani chinese rolls casual dining marathahalli
Flavours Hut,Yes,No,3.5,8,HSR,Casual Dining,"Kerala, North Indian, Chinese, Seafood",550,Delivery,BTM,kerala north indian chinese seafood casual dining btm
New Tandoor,Yes,No,3.5,293,CV Raman Nagar,Casual Dining,"North Indian, Chinese, Mughlai, Rolls",550,Delivery,Old Airport Road,north indian chinese mughlai rolls casual dining oldairportroad
Vindu Andhra Ruchulu,Yes,No,3.8,280,Jayanagar,Casual Dining,"Biryani, North Indian, Andhra",800,Delivery,Basavanagudi,biryani north indian andhra casual dining basavanagudi
Om Sri Vinayaka Chats,No,No,3.700448817952718,0,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",500,Delivery,Banashankari,street food fast food takeaway delivery banashankari
City Kebab Centre,No,No,3.700448817952718,0,City Market,Quick Bites,"Fast Food, Street Food",300,Dine-out,Basavanagudi,fast food street food quick bites basavanagudi
Swad E Punjab,No,No,3.4,6,Whitefield,Casual Dining,North Indian,600,Delivery,Brookefield,north indian casual dining brookefield
38 Sugar Lane,No,No,3.700448817952718,0,Bellandur,"Takeaway, Delivery","Bakery, Desserts",850,Delivery,Bellandur,bakery desserts takeaway delivery bellandur
Bottoms Up Resto Bar,Yes,No,3.9,248,Kalyan Nagar,Bar,"Finger Food, Italian, Continental","1,200",Delivery,Kalyan Nagar,finger food italian continental bar kalyannagar
Vanilla Pod,No,No,3.700448817952718,0,Koramangala 4th Block,Bakery,Bakery,300,Desserts,Koramangala 4th Block,bakery bakery koramangala thblock
The Waffcake Legacy,Yes,No,4.0,167,Marathahalli,Dessert Parlor,"Desserts, Street Food, Sandwich, Beverages",350,Delivery,Brookefield,desserts street food sandwich beverages dessert parlor brookefield
Once Upon A Flame,Yes,No,4.5,2062,HSR,Casual Dining,"Steak, Continental, Burger, BBQ","1,200",Delivery,BTM,steak continental burger bbq casual dining btm
Damodar Seth,Yes,No,3.1,152,Marathahalli,Casual Dining,"Bengali, Chinese, North Indian",600,Delivery,Brookefield,bengali chinese north indian casual dining brookefield
Dreamland Food Corner,Yes,No,3.7,42,Hennur,Quick Bites,"Fast Food, Desserts",400,Delivery,Kalyan Nagar,fast food desserts quick bites kalyannagar
Shang Palace - Shangri-La Hotel,No,Yes,4.2,344,Vasanth Nagar,"Fine Dining, Bar","Chinese, Asian","2,000",Dine-out,Lavelle Road,chinese asian fine dining bar lavelleroad
Sultan's Biryani,No,No,3.0,12,Bannerghatta Road,Delivery,"Biryani, North Indian",700,Delivery,Bannerghatta Road,biryani north indian delivery bannerghattaroad
